"","county","income","estimate"
"1","Bronx","<10",93062
"2","Bronx","10-14.9",70015
"3","Bronx","100-124.9",48816
"4","Bronx","125-149.9",30439
"5","Bronx","15-19.9",46755
"6","Bronx","150-199.9",30756
"7","Bronx","20-24.9",42970
"8","Bronx","200+",24992
"9","Bronx","25-29.9",35416
"10","Bronx","30-34.9",36654
"11","Bronx","35-39.9",33838
"12","Bronx","40-44.9",33050
"13","Bronx","45-49.9",28798
"14","Bronx","50-59.9",52218
"15","Bronx","60-74.9",63654
"16","Bronx","75-99.9",74382
"17","Erie","<10",26459
"18","Erie","10-14.9",20490
"19","Erie","100-124.9",39291
"20","Erie","125-149.9",25114
"21","Erie","15-19.9",18471
"22","Erie","150-199.9",29490
"23","Erie","20-24.9",19477
"24","Erie","200+",25846
"25","Erie","25-29.9",18546
"26","Erie","30-34.9",19015
"27","Erie","35-39.9",16696
"28","Erie","40-44.9",17627
"29","Erie","45-49.9",13761
"30","Erie","50-59.9",31905
"31","Erie","60-74.9",40711
"32","Erie","75-99.9",51574
"33","Kings","<10",90663
"34","Kings","10-14.9",66680
"35","Kings","100-124.9",93498
"36","Kings","125-149.9",67074
"37","Kings","15-19.9",50462
"38","Kings","150-199.9",87401
"39","Kings","20-24.9",46416
"40","Kings","200+",128843
"41","Kings","25-29.9",43618
"42","Kings","30-34.9",41954
"43","Kings","35-39.9",38667
"44","Kings","40-44.9",38831
"45","Kings","45-49.9",34248
"46","Kings","50-59.9",67859
"47","Kings","60-74.9",85682
"48","Kings","75-99.9",120430
"49","Nassau","<10",15133
"50","Nassau","10-14.9",9097
"51","Nassau","100-124.9",50549
"52","Nassau","125-149.9",42111
"53","Nassau","15-19.9",8726
"54","Nassau","150-199.9",70532
"55","Nassau","20-24.9",9876
"56","Nassau","200+",130745
"57","Nassau","25-29.9",10177
"58","Nassau","30-34.9",9095
"59","Nassau","35-39.9",9313
"60","Nassau","40-44.9",11492
"61","Nassau","45-49.9",9638
"62","Nassau","50-59.9",20966
"63","Nassau","60-74.9",31457
"64","Nassau","75-99.9",50925
"65","New York","<10",75502
"66","New York","10-14.9",48814
"67","New York","100-124.9",65686
"68","New York","125-149.9",51024
"69","New York","15-19.9",34223
"70","New York","150-199.9",75000
"71","New York","20-24.9",29383
"72","New York","200+",195644
"73","New York","25-29.9",27862
"74","New York","30-34.9",24166
"75","New York","35-39.9",22195
"76","New York","40-44.9",24647
"77","New York","45-49.9",19621
"78","New York","50-59.9",41038
"79","New York","60-74.9",57682
"80","New York","75-99.9",81606
"81","Queens","<10",47749
"82","Queens","10-14.9",33625
"83","Queens","100-124.9",95945
"84","Queens","125-149.9",68455
"85","Queens","15-19.9",30157
"86","Queens","150-199.9",87015
"87","Queens","20-24.9",34617
"88","Queens","200+",88702
"89","Queens","25-29.9",36317
"90","Queens","30-34.9",35626
"91","Queens","35-39.9",31597
"92","Queens","40-44.9",34483
"93","Queens","45-49.9",31576
"94","Queens","50-59.9",65179
"95","Queens","60-74.9",92224
"96","Queens","75-99.9",123561
"97","Suffolk","<10",16783
"98","Suffolk","10-14.9",11616
"99","Suffolk","100-124.9",59397
"100","Suffolk","125-149.9",53791
"101","Suffolk","15-19.9",11395
"102","Suffolk","150-199.9",75390
"103","Suffolk","20-24.9",12255
"104","Suffolk","200+",108862
"105","Suffolk","25-29.9",12378
"106","Suffolk","30-34.9",11807
"107","Suffolk","35-39.9",10724
"108","Suffolk","40-44.9",14018
"109","Suffolk","45-49.9",12862
"110","Suffolk","50-59.9",26200
"111","Suffolk","60-74.9",39303
"112","Suffolk","75-99.9",62022
"113","Westchester","<10",18996
"114","Westchester","10-14.9",12452
"115","Westchester","100-124.9",36457
"116","Westchester","125-149.9",30894
"117","Westchester","15-19.9",10873
"118","Westchester","150-199.9",42135
"119","Westchester","20-24.9",12539
"120","Westchester","200+",96794
"121","Westchester","25-29.9",11715
"122","Westchester","30-34.9",12374
"123","Westchester","35-39.9",11678
"124","Westchester","40-44.9",11595
"125","Westchester","45-49.9",8820
"126","Westchester","50-59.9",22192
"127","Westchester","60-74.9",30297
"128","Westchester","75-99.9",45888
